0,16,0.948888,12.600000
0,32,1.036754,28.200000
0,64,1.296636,74.800000
0,128,1.215238,242.400000
0,256,1.135111,823.000000
0,512,1.214666,2796.600000
0,1024,1.215170,9792.800000
0,2048,1.227904,35896.200000
0,4096,1.194682,146167.600000
0,8192,1.198847,577603.000000
0,16384,1.202531,2584240.000000
0,32678,1.204062,9116148.200000

2,16,2.597301,16.600000
2,32,3.900528,45.800000
2,64,5.624165,103.800000
2,128,7.716419,296.600000
2,256,10.745855,1096.800000
2,512,14.941504,4251.400000
2,1024,21.102017,14629.600000
2,4048,41.640996,255315.600000
2,4096,41.646850,259972.400000
2,8192,58.833377,1246442.800000
2,16384,83.177407,4831402.000000
2,32678,117.433378,19546347.200000

3,16,4.498442,21.800000
3,32,7.423130,41.000000
3,64,11.304088,106.000000
3,128,17.956906,338.600000
3,256,27.354302,1125.200000
3,512,43.072741,3904.200000
3,1024,67.959140,13256.600000
3,2048,107.169953,53293.600000
3,4096,168.852775,205004.200000
3,8192,267.596398,908824.800000
3,16384,422.768299,3251026.600000
3,32678,667.340311,12100045.400000
3,65356,1057.105299,58415460.600000
3,130712,640.533114,225866101.200000

4,16,6.511538,23.400000
4,32,9.945813,65.600000
4,64,16.836312,157.400000
4,128,28.626003,405.400000
4,256,47.019644,1236.400000
4,512,77.775482,4140.600000
4,1024,130.100734,15965.600000
4,2048,216.422496,59766.800000
4,4096,361.064998,194842.600000
4,8192,603.389113,718154.800000
4,16384,1009.148736,2631029.000000
4,32678,1684.834053,9987715.400000
